frame,ID,X,Y,Class,Color,Position,X_court,Y_court,is_outlier,X_court_clamped,Y_court_clamped,court_zone,court_side,dist_to_near_baseline,dist_to_far_baseline,dist_to_net,dist_to_left_sideline,dist_to_right_sideline,dist_to_center
6,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
6,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
6,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
6,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
6,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
6,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
6,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
6,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
6,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
6,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
7,1,634,210,Player,red,Defense,6.316269,4.3732,False,6.316269,4.3732,Near Service Box,Right,4.3732,19.396801,7.5118003,6.316269,4.6537313,0.8312688
7,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
7,3,910,645,Player,red,Defense,8.883324,24.309206,False,8.883324,24.309206,Out of Bounds,Right,24.309206,0.53920555,12.424206,8.883324,2.0866766,3.3983235
7,4,404,160,Player,red,Defense,-0.49995375,-9.445654,True,-0.49995375,-2.0,Near Service Box,Left,9.445654,33.215652,21.330654,0.49995375,11.469954,5.984954
