ID,TotalDistance,AverageSpeed,MaxSpeed,AverageSpeedKmh,MaxSpeedKmh,FrameCount,ValidMovements,FilteredMovements,DetectionGaps,MovementSegments,CourtCoverage,TimeActive,DistancePerMinute
1,38.041189219887215,4.004335707356551,11.084003242274896,14.415608546483584,39.90241167218963,432,285,146,0,1,31.435183031906153,14.366666666666667,158.87271599952896
2,15.49244642077801,3.037734592309414,11.303540468204574,10.93584453231389,40.692745685536465,432,153,278,0,1,29.56016371168879,14.366666666666667,64.70163238375967
3,37.42369391848122,4.236644594545039,11.733850149917725,15.251920540362141,42.24186053970381,432,265,166,0,1,53.45234617030709,14.366666666666667,156.2938493115225
4,14.416277519966991,2.6862628919193163,11.191140873572246,9.67054641090954,40.288107144860085,432,161,270,0,1,40.802678868695665,14.366666666666667,60.20719149870205
5,29.763383965864772,3.6296809714469243,11.900544161481957,13.066851497208928,42.84195898133505,432,246,185,0,1,140.12974535568702,14.366666666666667,124.30183558829836
6,20.187992160037716,3.882306184622637,11.514016949830165,13.976302264641493,41.45046101938859,432,156,275,0,1,91.39437986864256,14.366666666666667,84.31180020433385
7,23.292542426266582,4.618921072995517,10.471051217440767,16.62811586278386,37.69578438278676,431,151,279,1,2,86.65863997414635,14.366666666666667,97.27743936723863
8,19.537840219192184,4.341742270931598,11.132616339050825,15.630272175353753,40.07741882058297,432,135,296,0,1,50.321313539440936,14.366666666666667,81.5965484792249
9,18.384141631729893,4.4477762012249755,9.160131421907135,16.011994324409912,32.976473118865684,329,124,204,0,1,36.01573278632546,10.933333333333334,100.88858212534697
10,16.940108119502007,3.9703378405082823,11.71396731043814,14.293216225829816,42.1702823175773,430,128,301,1,2,1173.3619073284767,14.366666666666667,70.74755131114526
11,12.323894783699224,2.798129232586175,11.859244392576583,10.073265237310231,42.6932798132757,424,131,290,2,3,9.380854293095819,14.333333333333334,51.58839676897349
12,7.23932913355512,3.841934568805474,11.64693928210429,13.830964447699706,41.92898141557544,146,54,91,1,2,3.2069192697838935,4.866666666666666,89.252003016433
43,18.334881553582125,5.257487779827282,11.796718653043081,18.926956007378216,42.468187150955096,225,102,120,3,4,21.75263379338532,8.733333333333333,125.96483510094589
48,0.20126969199376843,6.038090759813053,6.038090759813053,21.737126735326992,21.737126735326992,9,1,7,0,1,0.011706408727114278,0.26666666666666666,45.28568069859789
50,0.5190872183288563,2.348322986029686,2.6552833103004976,8.45396274970687,9.559019917081791,37,6,29,1,2,0.10694146746331679,1.8,17.30290727762854
51,0.0,0.0,0.0,0.0,0.0,14,0,13,0,1,0.0007359630884142827,0.43333333333333335,0.0
57,0.0,0.0,0.0,0.0,0.0,6,0,5,0,1,0.04792471511464391,0.16666666666666666,0.0
63,10.291989985300711,3.900413093278231,10.881566152774084,14.041487135801631,39.17363814998671,185,78,104,4,5,12.353275071734583,6.7,92.16707449523025
72,4.040486621415494,3.138894593750476,9.232031204312477,11.300020537501714,33.23531233552492,124,37,82,5,6,9.84433959989229,6.533333333333333,37.10650978850963
76,0.0,0.39912597835164926,0.39912597835164926,1.4368535220659373,1.4368535220659373,73,0,71,2,3,1.3437034040558622,2.533333333333333,0.0
92,1.96580423092229,5.055482948513693,8.759567558292739,18.199738614649295,31.534443209853862,29,12,15,1,2,1.0733934597431714,1.0333333333333334,114.14347147290715
112,0.41991589092859827,4.199158909285982,4.21942592219877,15.116972073429537,15.189933319915573,7,3,3,0,1,0.019673219225178867,0.2,125.97476727857946
123,9.582821364229938,5.625459327807839,11.978911906364768,20.251653580108222,43.12408286291317,97,50,41,9,10,28.458749496388638,5.033333333333333,114.23230765307211
126,0.9874840188669487,5.924904113201692,6.896706628593247,21.329654807526094,24.82814386293569,8,5,2,0,1,1.051023902493035,0.23333333333333334,253.9244619943582
133,0.7718318725093185,11.57747808763978,11.777320907204533,41.67892111550321,42.398355265936324,7,2,4,0,1,0.08218277819009863,0.2,231.54956175279554
136,0.1606786250458303,2.4101793756874548,2.7317031091957853,8.676645752474837,9.834131193104827,6,2,3,0,1,0.009113660763961414,0.16666666666666666,57.84430501649891
137,0.08157559530655285,2.4472678591965855,2.4472678591965855,8.810164293107707,8.810164293107707,8,1,6,0,1,0.0006034122783683609,0.23333333333333334,20.97658165025645
143,0.0552479936538504,1.0497448617276626,1.657439809615512,3.779081502219585,5.966783314615844,35,1,32,4,5,0.03899506901885306,1.7666666666666666,1.8763469542817117
149,0.0,0.0,0.0,0.0,0.0,10,0,9,0,1,0.0028187199348435822,0.3,0.0
150,4.342829044503996,5.337832927629238,8.934322131208445,19.216198539465257,32.1635596723504,44,24,18,1,2,2.344292393698649,1.5333333333333334,169.93678869798242
151,1.4608182382416852,2.2959666027039756,7.499551226839212,8.265479769734313,26.998384416621164,54,18,33,2,3,2.268065750926979,2.533333333333333,34.598326695197805
152,0.0,0.0,0.0,0.0,0.0,35,0,34,1,2,0.02993243592899361,1.2,0.0
162,7.226376396554604,4.921733802586811,11.644322817236539,17.71824168931252,41.91956214205154,87,42,43,3,4,22.449595678354438,3.066666666666667,141.38562514998137
179,1.5332688096721097,2.874879018135205,10.003664144214477,10.349564465286738,36.01319091917212,28,16,11,0,1,0.2942825897346165,0.9,102.21792064480731
181,2.0624121436061182,3.5046458063528547,8.346737630871118,12.616724902870278,30.048255471136027,21,13,7,2,3,0.20031796492328097,0.7666666666666667,161.4061677604788
183,0.0,0.0,0.0,,,1,0,0,0,0,0.0,0.0,
187,0.9896525786324153,5.937915471794493,11.88644800271004,21.376495698460175,42.791212809756146,44,5,38,0,1,0.2755098059022244,1.4333333333333333,41.427317245077845
189,1.5397866535210452,3.2995428289736686,8.796390168892325,11.878354184305207,31.66700460801237,27,14,12,1,2,1.5721733202833916,0.9666666666666667,95.57296470130625
194,3.3746285022666984,3.349677992442011,5.694775121268126,12.05884077279124,20.501190436565256,82,29,51,4,5,10092.610593400115,2.933333333333333,69.02649209181884
195,3.3897882349229325,3.5745725145164804,9.86139575459635,12.86846105225933,35.50102471654686,80,28,50,1,2,37.62787697424818,2.9,70.13354968806068
196,4.511339938528116,4.511339938528113,10.281803001323022,16.24082377870121,37.01449080476288,84,30,53,1,2,49.985932008727374,2.8,96.67157011131677
