frame,ID,X,Y,Class,Color,Position,X_court,Y_court,X_court_intelligent,Y_court_intelligent,in_court_bounds,in_strict_bounds,X_court_final,Y_court_final,court_zone,court_side
1,0,656,351,Ball,blue,Ball,6.763317659096353,14.321107381042475,9.544973118044187,22.020774836390967,True,True,9.47665515745935,21.929746394330902,Far Baseline,Right
2,0,640,384,Ball,blue,Ball,6.556781241699758,15.841115147293946,9.501993227821572,22.468279887082875,True,True,9.633159438068882,22.579275799929523,Far Baseline,Right
3,1,650,210,Player,red,Defense,6.616949661788236,4.67752680737996,9.514514177506223,19.181611044411756,True,True,9.402842080145552,19.26725867945544,Far Baseline,Right
3,2,112,363,Player,red,Defense,-5.579935755490061,9.184728998056032,6.976362296592042,20.5085751492014,True,True,7.049560832340905,20.567799105702125,Far Baseline,Right
3,3,888,646,Player,red,Defense,8.719935830591824,24.337693079778116,9.95214215524584,23.77,True,True,10.07471703277857,23.767856456086015,Far Baseline,Right
3,4,405,160,Player,red,Defense,-0.460274676657922,-9.394819982318008,8.04175538280344,15.03857546045008,True,True,8.04046129542173,15.036229919755051,Far Service,Right
3,5,1189,282,Player,red,Defense,12.51505482790725,14.424508607485569,10.741900203450804,22.05121716182403,True,True,10.742603733778312,22.045881298420664,Far Baseline,Right
3,6,970,164,Player,red,Defense,11.46598484214602,6.213970153729735,10.523590457439871,19.6339548895285,True,True,10.523758111050796,19.634253080074014,Far Baseline,Right
3,7,52,148,Player,red,Defense,-35.00388017812736,-58.1562072520534,0.8532876488270603,0.6827494137423874,True,True,0.8732802871057308,0.7235589780204719,Near Baseline,Left
3,8,558,66,Player,red,Defense,3.567574629842846,-20.30375075374482,8.879944227215418,11.826880279509632,True,True,8.88190312526623,11.847060840075372,Near Service,Right
3,10,850,67,Player,red,Defense,10.733907019698696,-5.656395004922628,10.371246261487356,16.139204086278067,True,True,10.369173388702906,16.142087445663524,Far Service,Right
3,11,22,156,Player,red,Defense,-39.10428557899484,-60.4752523883876,0.0,0.0,True,True,-0.002673931059215208,-0.014699942074245603,Near Baseline,Left
3,13,326,123,Player,red,Defense,-5.898038157522156,-24.032477670785127,6.910165707674571,10.72910685685045,True,True,6.909688644224717,10.727643652328696,Near Service,Right
3,14,1133,116,Player,red,Defense,13.611170116805168,5.162251224215007,10.97,19.32431862100679,True,True,10.970000000000008,19.324130054437,Far Baseline,Right
3,15,175,123,Player,red,Defense,-19.93420594798744,-45.474488109992414,3.9892621770299153,4.416370710641527,True,True,3.969633206788,4.373948046332707,Near Baseline,Left
3,16,225,121,Player,red,Defense,-14.31512056596393,-37.47399315199522,5.158584642845364,6.771794137568015,True,True,5.152698055053957,6.758949009123249,Near Service,Left
3,63,1182,386,Player,red,Defense,11.785541005272162,18.05606867407664,10.590089571660238,23.120383719899166,True,True,10.589991884269281,23.120134967767058,Far Baseline,Right
3,69,285,122,Player,red,Defense,-8.84645814435908,-28.787208943515868,6.296604336940219,9.329267785977066,True,True,6.298663362642116,9.33373923905494,Near Service,Right
4,1,645,210,Player,red,Defense,6.524019359125622,4.583469638500696,9.495175533710906,19.153919700287208,True,True,9.419804964098471,19.101406770177796,Far Baseline,Right
4,2,112,363,Player,red,Defense,-5.579935755490061,9.184728998056032,6.976362296592042,20.5085751492014,True,True,7.002809223009019,20.532290007320718,Far Baseline,Right
4,3,894,646,Player,red,Defense,8.764262804458678,24.335469806584097,9.961366525914766,23.77,True,True,10.02323323238439,23.76862632876013,Far Baseline,Right
4,4,405,160,Player,red,Defense,-0.460274676657922,-9.394819982318008,8.04175538280344,15.03857546045008,True,True,8.040622954945103,15.03652292855505,Far Service,Right
4,5,1189,281,Player,red,Defense,12.522513539690662,14.384523134886912,10.743452349158055,22.03944505029968,True,True,10.742840055226274,22.044088939347652,Far Baseline,Right
4,6,970,164,Player,red,Defense,11.46598484214602,6.213970153729735,10.523590457439871,19.6339548895285,True,True,10.52364510277892,19.63405208232601,Far Baseline,Right
4,7,52,148,Player,red,Defense,-35.00388017812736,-58.1562072520534,0.8532876488270603,0.6827494137423874,True,True,0.8647080236609538,0.710930872379988,Near Baseline,Left
4,8,558,66,Player,red,Defense,3.567574629842846,-20.30375075374482,8.879944227215418,11.826880279509632,True,True,8.880976716158534,11.83543215192815,Near Service,Right
4,10,850,67,Player,red,Defense,10.733907019698696,-5.656395004922628,10.371246261487356,16.139204086278067,True,True,10.368909556832199,16.138086475695896,Far Service,Right
4,11,22,156,Player,red,Defense,-39.10428557899484,-60.4752523883876,0.0,0.0,True,True,-0.0010695724236860838,-0.005879976829698242,Near Baseline,Left
4,13,326,123,Player,red,Defense,-5.898038157522156,-24.032477670785127,6.910165707674571,10.72910685685045,True,True,6.910248618388282,10.729620377675962,Near Service,Right
4,14,1133,116,Player,red,Defense,13.611170116805168,5.162251224215007,10.97,19.32431862100679,True,True,10.970000000000006,19.32544478382012,Far Baseline,Right
4,15,174,123,Player,red,Defense,-20.069488113250717,-45.68114862040495,3.961110179985595,4.35552784901836,True,True,3.968074392542234,4.370579094591838,Near Baseline,Left
4,16,225,121,Player,red,Defense,-14.31512056596393,-37.47399315199522,5.158584642845364,6.771794137568015,True,True,5.153813296401994,6.7613825782587265,Near Service,Left
4,63,1182,386,Player,red,Defense,11.785541005272162,18.05606867407664,10.590089571660238,23.120383719899166,True,True,10.590077577561496,23.120076646203422,Far Baseline,Right
4,69,285,122,Player,red,Defense,-8.84645814435908,-28.787208943515868,6.296604336940219,9.329267785977066,True,True,6.29711170616081,9.330369606930994,Near Service,Right
