frame,ID,X,Y,Class,Color,Position,X_mapped,Y_mapped
3,1,991,616,Player,red,Defense,-1.7108622276162768,26.402486375546875
3,2,520,585,Player,red,Defense,34.18311692534827,-53.04177321507037
3,3,754,297,Player,red,Defense,5.484336850517365,35.29261483533143
3,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
3,5,556,216,Player,red,Defense,-10.683360606730927,-37.65529790241634
3,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
3,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
3,8,423,147,Player,red,Defense,-2.7877748896638286,1.2245975560296405
3,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
3,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
3,11,166,360,Player,red,Defense,5.322518408575881,5.263301620831404
3,12,169,255,Player,red,Defense,3.36114578644265,6.723221261718429
4,1,980,597,Player,red,Defense,-1.496806307408399,26.50100233579679
4,2,522,589,Player,red,Defense,35.52589054402327,-55.36643628459473
4,3,762,293,Player,red,Defense,5.644314159663483,34.040739425422956
4,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
4,5,552,217,Player,red,Defense,-9.495932396457444,-34.23569075180339
4,6,1088,220,Player,red,Defense,6.108869502702544,19.258006078198452
4,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
4,8,422,147,Player,red,Defense,-2.7495768505417457,1.289048329163793
4,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
4,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
4,11,166,360,Player,red,Defense,5.322518408575881,5.263301620831404
4,12,169,256,Player,red,Defense,3.3796992155064656,6.708916351544488
5,1,978,596,Player,red,Defense,-1.5072589094206281,26.554514514166204
5,2,522,588,Player,red,Defense,35.39505829770542,-55.24446857623769
5,3,762,293,Player,red,Defense,5.644314159663483,34.040739425422956
5,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
5,5,552,218,Player,red,Defense,-9.363282849984978,-34.374194820120316
5,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
5,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
5,8,423,147,Player,red,Defense,-2.7877748896638286,1.2245975560296405
5,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
5,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
5,11,166,360,Player,red,Defense,5.322518408575881,5.263301620831404
5,12,169,255,Player,red,Defense,3.36114578644265,6.723221261718429
6,1,977,595,Player,red,Defense,-1.5021572297080197,26.57434879467987
6,2,522,587,Player,red,Defense,35.26437398722383,-55.12263878032534
6,3,762,293,Player,red,Defense,5.644314159663483,34.040739425422956
6,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
6,5,552,217,Player,red,Defense,-9.495932396457444,-34.23569075180339
6,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
6,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
6,8,423,147,Player,red,Defense,-2.7877748896638286,1.2245975560296405
6,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
6,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
6,11,166,360,Player,red,Defense,5.322518408575881,5.263301620831404
6,12,169,255,Player,red,Defense,3.36114578644265,6.723221261718429
7,1,976,594,Player,red,Defense,-1.4970277441631723,26.594291178545298
7,2,522,587,Player,red,Defense,35.26437398722383,-55.12263878032534
7,3,762,294,Player,red,Defense,5.5914146163721075,34.07388801465908
7,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
7,5,553,220,Player,red,Defense,-9.338454581938679,-35.506332732742365
7,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
7,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
7,8,423,147,Player,red,Defense,-2.7877748896638286,1.2245975560296405
7,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
7,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
7,11,166,360,Player,red,Defense,5.322518408575881,5.263301620831404
7,12,169,255,Player,red,Defense,3.36114578644265,6.723221261718429
7,0,658,211,Ball,blue,Ball,22.13079725454418,69.53119293517415
8,1,976,594,Player,red,Defense,-1.4970277441631723,26.594291178545298
8,2,522,587,Player,red,Defense,35.26437398722383,-55.12263878032534
8,3,762,297,Player,red,Defense,5.4328825899719035,34.17322938316509
8,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
8,5,554,221,Player,red,Defense,-9.450531234937044,-36.53716937670421
8,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
8,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
8,8,422,147,Player,red,Defense,-2.7495768505417457,1.289048329163793
8,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
8,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
8,11,167,360,Player,red,Defense,5.3244430487799095,5.244457082860548
8,12,169,256,Player,red,Defense,3.3796992155064656,6.708916351544488
8,0,678,234,Ball,blue,Ball,14.07264883332066,54.57503093811927
9,1,975,594,Player,red,Defense,-1.5127230556602715,26.628686804206836
9,2,522,587,Player,red,Defense,35.26437398722383,-55.12263878032534
9,3,764,293,Player,red,Defense,5.629570881258308,33.780034968146204
9,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
9,5,562,221,Player,red,Defense,-11.807164542558427,-44.99913221667724
9,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
9,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
