frame,ID,X,Y,Class,Color,Position
15,2,696,278,Player,red,Defense
15,3,796,572,Player,red,Defense
15,4,428,228,Player,red,Defense
15,5,392,170,Player,red,Defense
15,6,645,159,Player,red,Defense
15,7,312,150,Player,red,Defense
15,8,960,155,Player,red,Defense
15,9,145,340,Player,red,Defense
15,10,1171,356,Player,red,Defense
15,0,1104,119,Ball,blue,Ball
15,13,1148,227,Player,red,Defense
15,14,146,223,Player,red,Defense
15,15,88,188,Player,red,Defense
15,16,456,83,Player,red,Defense
16,1,448,400,Player,red,Defense
16,2,695,278,Player,red,Defense
16,3,796,572,Player,red,Defense
16,4,426,227,Player,red,Defense
16,5,392,170,Player,red,Defense
16,6,645,159,Player,red,Defense
16,7,312,150,Player,red,Defense
16,8,960,155,Player,red,Defense
16,9,145,341,Player,red,Defense
16,10,1172,356,Player,red,Defense
16,0,1104,119,Ball,blue,Ball
16,13,1148,227,Player,red,Defense
16,14,146,223,Player,red,Defense
16,15,88,187,Player,red,Defense
16,16,456,83,Player,red,Defense
17,1,449,401,Player,red,Defense
17,2,693,279,Player,red,Defense
17,3,796,572,Player,red,Defense
17,4,423,229,Player,red,Defense
17,5,392,170,Player,red,Defense
17,6,645,159,Player,red,Defense
17,7,312,150,Player,red,Defense
17,8,960,155,Player,red,Defense
17,9,145,341,Player,red,Defense
17,10,1171,356,Player,red,Defense
17,0,1104,119,Ball,blue,Ball
17,13,1147,227,Player,red,Defense
17,14,146,223,Player,red,Defense
17,15,88,187,Player,red,Defense
17,16,456,83,Player,red,Defense
18,1,450,401,Player,red,Defense
18,2,692,279,Player,red,Defense
18,3,794,576,Player,red,Defense
18,4,422,230,Player,red,Defense
18,5,392,170,Player,red,Defense
18,6,646,159,Player,red,Defense
18,7,312,150,Player,red,Defense
18,8,960,155,Player,red,Defense
18,9,146,341,Player,red,Defense
18,10,1171,356,Player,red,Defense
18,0,1104,119,Ball,blue,Ball
18,13,1147,227,Player,red,Defense
18,14,145,223,Player,red,Defense
18,15,88,187,Player,red,Defense
18,16,456,83,Player,red,Defense
19,1,450,402,Player,red,Defense
19,2,690,280,Player,red,Defense
19,3,796,580,Player,red,Defense
19,4,416,230,Player,red,Defense
19,5,391,170,Player,red,Defense
19,6,646,160,Player,red,Defense
19,7,312,150,Player,red,Defense
19,8,960,155,Player,red,Defense
19,9,146,341,Player,red,Defense
19,10,1171,356,Player,red,Defense
19,0,1104,119,Ball,blue,Ball
19,13,1147,227,Player,red,Defense
19,14,145,223,Player,red,Defense
19,15,86,187,Player,red,Defense
19,16,456,83,Player,red,Defense
20,1,450,403,Player,red,Defense
20,2,690,280,Player,red,Defense
20,3,800,582,Player,red,Defense
20,4,415,230,Player,red,Defense
20,5,392,171,Player,red,Defense
20,6,647,160,Player,red,Defense
20,7,312,150,Player,red,Defense
20,8,960,155,Player,red,Defense
20,9,146,341,Player,red,Defense
20,10,1171,356,Player,red,Defense
20,0,1104,119,Ball,blue,Ball
20,13,1147,227,Player,red,Defense
20,14,146,223,Player,red,Defense
20,15,86,187,Player,red,Defense
20,16,456,83,Player,red,Defense
21,1,450,403,Player,red,Defense
21,2,689,279,Player,red,Defense
21,3,805,583,Player,red,Defense
21,4,412,229,Player,red,Defense
21,5,392,170,Player,red,Defense
21,6,648,159,Player,red,Defense
21,7,312,150,Player,red,Defense
21,8,960,155,Player,red,Defense
21,9,146,341,Player,red,Defense
21,10,1172,356,Player,red,Defense
21,0,1104,119,Ball,blue,Ball
21,13,1147,227,Player,red,Defense
21,14,146,223,Player,red,Defense
21,15,86,187,Player,red,Defense
21,16,456,83,Player,red,Defense
22,1,450,403,Player,red,Defense
22,2,688,279,Player,red,Defense
22,3,806,584,Player,red,Defense
22,4,412,229,Player,red,Defense
22,5,392,170,Player,red,Defense
22,6,648,159,Player,red,Defense
22,7,312,150,Player,red,Defense
22,8,960,155,Player,red,Defense
22,9,146,341,Player,red,Defense
22,10,1172,356,Player,red,Defense
22,0,1104,119,Ball,blue,Ball
22,13,1147,227,Player,red,Defense
22,14,146,223,Player,red,Defense
22,15,86,187,Player,red,Defense
22,16,456,83,Player,red,Defense
23,1,390,415,Player,red,Defense
23,2,532,287,Player,red,Defense
23,3,809,584,Player,red,Defense
23,4,404,222,Player,red,Defense
23,5,422,158,Player,red,Defense
23,6,787,159,Player,red,Defense
23,7,312,150,Player,red,Defense
23,8,960,155,Player,red,Defense
23,9,140,342,Player,red,Defense
23,10,1172,357,Player,red,Defense
23,0,1104,119,Ball,blue,Ball
23,13,1148,228,Player,red,Defense
23,14,148,222,Player,red,Defense
23,21,84,258,Player,red,Defense
23,22,70,198,Player,red,Defense
24,1,396,413,Player,red,Defense
24,2,534,287,Player,red,Defense
24,3,818,583,Player,red,Defense
24,4,404,223,Player,red,Defense
24,5,424,159,Player,red,Defense
24,6,793,160,Player,red,Defense
24,7,312,149,Player,red,Defense
24,8,960,155,Player,red,Defense
24,9,140,342,Player,red,Defense
24,10,1172,357,Player,red,Defense
24,0,1104,119,Ball,blue,Ball
24,13,1148,228,Player,red,Defense
24,14,148,223,Player,red,Defense
24,21,84,258,Player,red,Defense
24,22,70,198,Player,red,Defense
25,1,400,412,Player,red,Defense
25,2,538,287,Player,red,Defense
25,3,825,585,Player,red,Defense
25,4,405,223,Player,red,Defense
25,5,425,160,Player,red,Defense
25,6,794,160,Player,red,Defense
25,7,312,150,Player,red,Defense
25,8,960,155,Player,red,Defense
25,9,140,342,Player,red,Defense
25,10,1172,357,Player,red,Defense
25,0,1104,119,Ball,blue,Ball
25,13,1148,228,Player,red,Defense
25,14,148,223,Player,red,Defense
25,21,84,257,Player,red,Defense
25,22,70,199,Player,red,Defense
26,1,401,412,Player,red,Defense
26,2,538,287,Player,red,Defense
26,3,828,585,Player,red,Defense
26,4,405,223,Player,red,Defense
26,5,426,160,Player,red,Defense
26,6,795,160,Player,red,Defense
26,7,312,150,Player,red,Defense
26,8,960,155,Player,red,Defense
26,9,140,342,Player,red,Defense
26,10,1172,357,Player,red,Defense
26,0,1104,119,Ball,blue,Ball
26,13,1148,228,Player,red,Defense
26,14,148,223,Player,red,Defense
26,21,84,258,Player,red,Defense
26,22,70,198,Player,red,Defense
26,0,510,249,Ball,blue,Ball
27,1,402,412,Player,red,Defense
27,2,542,287,Player,red,Defense
27,3,831,589,Player,red,Defense
27,4,405,223,Player,red,Defense
27,5,426,161,Player,red,Defense
27,6,798,160,Player,red,Defense
27,7,312,149,Player,red,Defense
27,8,960,155,Player,red,Defense
27,9,140,342,Player,red,Defense
