frame,ID,X,Y,Class,Color,Position
19,11,1044,269,Player,red,Defense
19,15,166,186,Player,red,Defense
19,19,1213,261,Player,red,Defense
19,20,62,265,Player,red,Defense
19,22,1216,451,Player,red,Defense
20,1,558,436,Player,red,Defense
20,2,934,629,Player,red,Defense
20,3,632,250,Player,red,Defense
20,4,419,182,Player,red,Defense
20,5,670,347,Player,red,Defense
20,6,852,183,Player,red,Defense
20,7,1062,382,Player,red,Defense
20,11,1047,266,Player,red,Defense
20,15,163,184,Player,red,Defense
20,20,60,263,Player,red,Defense
20,22,1222,450,Player,red,Defense
20,0,730,408,Ball,blue,Ball
21,1,558,435,Player,red,Defense
21,2,932,629,Player,red,Defense
21,3,634,248,Player,red,Defense
21,4,418,180,Player,red,Defense
21,5,670,345,Player,red,Defense
21,6,854,181,Player,red,Defense
21,7,1062,381,Player,red,Defense
21,11,1050,266,Player,red,Defense
21,15,161,183,Player,red,Defense
21,20,57,261,Player,red,Defense
21,22,1224,450,Player,red,Defense
21,0,746,422,Ball,blue,Ball
22,1,556,435,Player,red,Defense
22,2,928,629,Player,red,Defense
22,3,634,246,Player,red,Defense
22,4,418,179,Player,red,Defense
22,5,670,345,Player,red,Defense
22,6,855,180,Player,red,Defense
22,7,1066,381,Player,red,Defense
22,11,1050,265,Player,red,Defense
22,15,158,182,Player,red,Defense
22,20,54,260,Player,red,Defense
22,22,1225,450,Player,red,Defense
22,0,762,421,Ball,blue,Ball
23,1,556,433,Player,red,Defense
23,2,926,629,Player,red,Defense
23,3,634,244,Player,red,Defense
23,4,416,176,Player,red,Defense
23,5,670,343,Player,red,Defense
23,6,856,177,Player,red,Defense
23,7,1069,380,Player,red,Defense
23,11,1052,264,Player,red,Defense
23,15,156,180,Player,red,Defense
23,20,51,259,Player,red,Defense
23,22,1234,447,Player,red,Defense
23,0,776,423,Ball,blue,Ball
24,1,556,433,Player,red,Defense
24,2,926,629,Player,red,Defense
24,3,636,246,Player,red,Defense
24,4,416,174,Player,red,Defense
