ID,TotalDistance,AverageSpeed,MaxSpeed,AverageSpeedKmh,MaxSpeedKmh,FrameCount,ValidMovements,FilteredMovements,DetectionGaps,MovementSegments,CourtCoverage,TimeActive,DistancePerMinute
1,9.231446990229145,2.825953160274228,7.876919553606706,10.17343137698722,28.356910392984144,146,98,47,0,1,3.8606055037119402,4.833333333333333,114.5972729821549
2,13.662431979069165,3.7261178124734085,11.76342844842447,13.414024124904271,42.348342414328094,146,110,35,0,1,12.149668758818104,4.833333333333333,169.60260387809998
3,11.405936932308364,3.801978977436122,9.68598551521926,13.687124318770039,34.86954785478934,146,90,55,0,1,2.490839637171348,4.833333333333333,141.59094122865557
4,10.169294759297312,3.3897649197657724,9.582105775140683,12.203153711156782,34.49558079050646,146,90,55,0,1,4.418783836001925,4.833333333333333,126.23952114989766
5,2.1723743072874764,4.073201826164018,4.705383277288964,14.663526574190465,16.93937979824027,146,16,129,0,1,0.0400220956168444,4.833333333333333,26.967405193913503
6,0.944338613131203,2.0235827424240065,2.024721514283954,7.2848978727264235,7.288997451422235,146,14,131,0,1,0.0045263730511566815,4.833333333333333,11.72282416300804
7,2.267349966106626,4.2512811864499245,8.012931794450141,15.304612271219728,28.84655446002051,146,16,129,0,1,0.007418131251593249,4.833333333333333,28.14641337235812
8,8.969937991164104,4.753751538918682,11.675528922758197,17.11350554010726,42.03190412192951,123,57,64,1,2,0.08723864677431062,4.666666666666667,115.3277741721099
9,0.8762930988414821,2.265749038558993,2.570238590750391,8.156696538812374,9.252858926701409,129,11,117,3,4,0.017720838978799155,4.833333333333333,10.87812122699771
10,0.0,0.04620188908180894,0.04620188908180894,0.16632680069451217,0.16632680069451217,3,0,1,1,2,0.00023756481724026402,1.2666666666666666,0.0
11,2.2284057899461533,2.8143175527751403,5.821224327962273,10.131543189990506,20.956407580664184,128,22,103,2,3,0.014787457099680813,4.833333333333333,27.662968426917768
12,0.27535067345067993,8.260520203520398,8.260520203520398,29.737872732673434,29.737872732673434,9,1,7,0,1,0.019459742440032145,0.26666666666666666,61.95390152640299
14,1.7280786724776431,3.0495505984899585,3.0746241195453305,10.978382154563851,11.06864683036319,145,17,127,0,1,0.002924227120379548,4.8,21.60098340597054
40,0.7579220614089736,3.248237406038458,3.4106451624896907,11.69365466173845,12.278322584962886,115,7,107,1,2,0.006386211055047211,4.133333333333334,11.00209443980768
65,2.3673968610984604,4.082893972643482,8.824740979633278,14.698418301516535,31.7690675266798,59,16,40,4,5,0.04159474234878811,3.033333333333333,46.827630219529986
77,3.8971578034431174,6.153407058068081,11.762028218885666,22.15226540904509,42.3433015879884,47,19,27,0,1,0.03732326290522186,1.5333333333333334,152.49747926516545
