ID,TotalDistance,AverageSpeed,MaxSpeed,AverageSpeedKmh,MaxSpeedKmh,FrameCount,ValidMovements,FilteredMovements,DetectionGaps,MovementSegments,CourtCoverage,TimeActive,DistancePerMinute
1,29.002101276162726,3.107367993874578,11.65114806106038,11.186524777948481,41.94413301981737,413,280,132,0,1,20.403361150628626,13.733333333333333,126.70820945896338
2,34.98738250023434,3.7831611861630354,10.664052772608677,13.619380270186928,38.39058998139124,409,276,131,2,3,32.159349450042356,13.733333333333333,152.85749636024713
3,43.749350805831114,4.772656451545209,11.837795413536602,17.18156322556275,42.61606348873177,413,275,137,0,1,83.30408202534608,13.733333333333333,191.13794041382528
4,29.258560360361663,5.662947166521615,10.038024928901667,20.386609799477814,36.136889744046,413,155,257,0,1,4.893582452809117,13.733333333333333,127.82866176857038
5,32.48130501526844,3.9443709549309505,11.90409552243251,14.199735437751421,42.854743880757034,407,247,158,1,2,25.370232252927703,13.733333333333333,141.9086141443767
6,32.07739896785503,6.337544335917465,11.423538047109087,22.815159609302874,41.12473696959272,409,151,256,1,2,4.862782390104461,13.733333333333333,140.14397607315306
7,16.962347580566437,3.0699920222724297,7.656141547112174,11.051971280180748,27.562109569603827,411,164,246,1,2,3.323188118972596,13.733333333333333,74.10734379859123
8,2.2074087729536807,5.518521932384203,8.658685656464899,19.866678956583133,31.171268363273636,17,12,4,0,1,0.30328931857750635,0.5333333333333333,248.3334869572891
11,4.289362332796365,4.897138128820403,11.97958242245924,17.629697263753453,43.12649672085326,37,26,9,1,2,0.5845173677735125,1.5,171.5744933118546
15,24.734496971195092,6.423105488113758,11.971066674121595,23.123179757209527,43.09584002683774,268,113,152,4,5,14.11840550720831,10.566666666666666,140.44824778596583
19,2.708881303735269,6.536275054852019,9.474237549691395,23.53059019746727,34.10725517888903,20,12,5,3,4,0.9821707256434249,1.0666666666666667,152.37457333510886
20,19.391442757590447,3.9304858390834796,10.032709952196821,14.149749020700527,36.11775582790856,305,142,157,7,8,5.070428071900206,13.5,86.18419003373532
22,1.2940410811737355,4.570803820973528,8.131063385552242,16.454893755504703,29.27182818798807,16,8,6,1,2,1.0480823206560204,1.9666666666666666,39.47921942563939
34,1.671997490443735,3.047222362930292,5.85478336426855,10.970000506549052,21.07722011136678,68,16,50,1,2,0.11986729766269111,2.4,41.799937261093376
48,0.0,0.0,0.0,0.0,0.0,6,0,5,0,1,0.0,0.16666666666666666,0.0
77,12.806963783474878,5.318638494623311,11.80353493406054,19.14709858064392,42.492725762617944,153,71,79,2,3,4.955349780170022,5.566666666666666,138.03913060032804
80,2.003196727371557,5.147868259542251,9.72487526961202,18.532325734352103,35.00955097060328,23,11,10,2,3,2.396818531320618,1.3,92.45523357099495
