frame,ID,X,Y,Class,Color,Position
19,8,27,255,Player,red,Defense
19,9,1154,178,Player,red,Defense
19,10,1223,226,Player,red,Defense
19,11,507,125,Player,red,Defense
19,0,677,265,Ball,blue,Ball
19,21,640,125,Player,red,Defense
19,0,681,273,Ball,blue,Ball
20,1,693,549,Player,red,Defense
20,2,368,122,Player,red,Defense
20,3,914,123,Player,red,Defense
20,4,469,151,Player,red,Defense
20,5,1090,329,Player,red,Defense
20,6,1085,215,Player,red,Defense
20,7,210,254,Player,red,Defense
20,8,27,255,Player,red,Defense
20,9,1154,178,Player,red,Defense
20,10,1223,226,Player,red,Defense
20,11,507,125,Player,red,Defense
20,21,640,125,Player,red,Defense
20,0,681,273,Ball,blue,Ball
21,1,694,547,Player,red,Defense
21,2,368,122,Player,red,Defense
21,3,914,123,Player,red,Defense
21,4,469,151,Player,red,Defense
21,5,1090,329,Player,red,Defense
21,6,1085,215,Player,red,Defense
21,7,210,254,Player,red,Defense
21,8,27,255,Player,red,Defense
21,9,1154,178,Player,red,Defense
21,10,1223,226,Player,red,Defense
21,11,507,125,Player,red,Defense
21,21,640,125,Player,red,Defense
21,0,681,273,Ball,blue,Ball
22,1,696,543,Player,red,Defense
22,2,368,122,Player,red,Defense
22,3,914,123,Player,red,Defense
22,4,470,151,Player,red,Defense
22,5,1090,329,Player,red,Defense
22,6,1084,217,Player,red,Defense
22,7,210,254,Player,red,Defense
22,8,27,255,Player,red,Defense
22,9,1154,178,Player,red,Defense
22,10,1223,226,Player,red,Defense
22,11,507,125,Player,red,Defense
22,21,640,125,Player,red,Defense
22,0,681,273,Ball,blue,Ball
23,1,697,542,Player,red,Defense
23,2,368,122,Player,red,Defense
23,3,914,123,Player,red,Defense
23,4,470,151,Player,red,Defense
23,5,1090,329,Player,red,Defense
23,6,1084,216,Player,red,Defense
23,7,210,254,Player,red,Defense
23,8,27,255,Player,red,Defense
23,9,1154,178,Player,red,Defense
23,10,1223,226,Player,red,Defense
23,11,507,125,Player,red,Defense
23,21,640,125,Player,red,Defense
23,0,672,303,Ball,blue,Ball
24,1,697,541,Player,red,Defense
24,2,368,122,Player,red,Defense
24,3,914,123,Player,red,Defense
24,4,470,151,Player,red,Defense
24,5,1091,329,Player,red,Defense
24,6,1085,216,Player,red,Defense
24,7,210,254,Player,red,Defense
24,8,27,255,Player,red,Defense
24,9,1154,178,Player,red,Defense
24,10,1223,226,Player,red,Defense
24,11,507,125,Player,red,Defense
24,21,640,125,Player,red,Defense
24,0,672,303,Ball,blue,Ball
25,1,708,526,Player,red,Defense
25,2,368,122,Player,red,Defense
25,3,914,123,Player,red,Defense
25,4,471,151,Player,red,Defense
25,5,1090,329,Player,red,Defense
25,6,1085,218,Player,red,Defense
25,7,210,254,Player,red,Defense
25,8,27,255,Player,red,Defense
25,9,1154,178,Player,red,Defense
25,10,1223,226,Player,red,Defense
25,11,506,125,Player,red,Defense
25,21,640,125,Player,red,Defense
25,0,652,298,Ball,blue,Ball
26,1,709,525,Player,red,Defense
26,2,368,122,Player,red,Defense
26,3,914,123,Player,red,Defense
26,4,472,152,Player,red,Defense
26,5,1090,329,Player,red,Defense
26,6,1085,218,Player,red,Defense
26,7,210,254,Player,red,Defense
26,8,27,255,Player,red,Defense
26,9,1154,178,Player,red,Defense
26,10,1223,226,Player,red,Defense
26,11,506,126,Player,red,Defense
26,21,640,125,Player,red,Defense
26,0,652,298,Ball,blue,Ball
27,1,708,524,Player,red,Defense
27,2,368,122,Player,red,Defense
27,3,914,123,Player,red,Defense
27,4,472,152,Player,red,Defense
27,5,1090,329,Player,red,Defense
27,6,1085,219,Player,red,Defense
27,7,210,254,Player,red,Defense
27,8,27,255,Player,red,Defense
27,9,1154,178,Player,red,Defense
27,10,1223,226,Player,red,Defense
27,11,506,126,Player,red,Defense
27,21,640,125,Player,red,Defense
27,0,652,298,Ball,blue,Ball
28,1,708,525,Player,red,Defense
28,2,368,122,Player,red,Defense
28,3,914,123,Player,red,Defense
28,4,474,153,Player,red,Defense
28,5,1090,329,Player,red,Defense
28,6,1085,219,Player,red,Defense
28,7,210,254,Player,red,Defense
28,8,27,255,Player,red,Defense
28,9,1154,178,Player,red,Defense
28,10,1223,226,Player,red,Defense
28,11,506,126,Player,red,Defense
28,21,640,125,Player,red,Defense
28,0,652,298,Ball,blue,Ball
29,1,709,525,Player,red,Defense
29,2,368,122,Player,red,Defense
29,3,914,123,Player,red,Defense
29,4,474,153,Player,red,Defense
29,5,1090,329,Player,red,Defense
29,6,1085,218,Player,red,Defense
29,7,210,254,Player,red,Defense
29,8,27,255,Player,red,Defense
29,9,1154,178,Player,red,Defense
29,10,1223,226,Player,red,Defense
29,11,506,126,Player,red,Defense
29,21,640,125,Player,red,Defense
29,0,604,255,Ball,blue,Ball
30,1,709,525,Player,red,Defense
30,2,368,122,Player,red,Defense
30,3,914,123,Player,red,Defense
30,4,474,153,Player,red,Defense
30,5,1090,329,Player,red,Defense
30,6,1085,218,Player,red,Defense
30,7,210,254,Player,red,Defense
30,8,27,255,Player,red,Defense
30,9,1154,178,Player,red,Defense
30,10,1223,226,Player,red,Defense
30,11,506,125,Player,red,Defense
30,21,640,125,Player,red,Defense
30,0,604,255,Ball,blue,Ball
31,1,708,533,Player,red,Defense
31,2,368,122,Player,red,Defense
31,3,914,123,Player,red,Defense
31,4,474,154,Player,red,Defense
31,5,1090,329,Player,red,Defense
31,6,1085,218,Player,red,Defense
31,7,210,254,Player,red,Defense
31,8,27,255,Player,red,Defense
31,9,1154,178,Player,red,Defense
31,10,1223,226,Player,red,Defense
31,11,506,124,Player,red,Defense
31,21,640,125,Player,red,Defense
32,1,708,536,Player,red,Defense
32,2,368,122,Player,red,Defense
32,3,914,123,Player,red,Defense
32,4,474,154,Player,red,Defense
32,5,1090,329,Player,red,Defense
32,6,1085,218,Player,red,Defense
32,7,210,254,Player,red,Defense
32,8,27,255,Player,red,Defense
32,9,1154,178,Player,red,Defense
32,10,1223,226,Player,red,Defense
32,11,506,124,Player,red,Defense
32,21,640,125,Player,red,Defense
33,1,705,539,Player,red,Defense
33,2,368,122,Player,red,Defense
33,3,914,123,Player,red,Defense
33,4,474,154,Player,red,Defense
33,5,1090,328,Player,red,Defense
33,6,1085,218,Player,red,Defense
33,7,210,254,Player,red,Defense
33,8,27,255,Player,red,Defense
33,9,1154,178,Player,red,Defense
33,10,1223,226,Player,red,Defense
33,11,506,124,Player,red,Defense
33,21,640,125,Player,red,Defense
34,1,705,541,Player,red,Defense
34,2,368,122,Player,red,Defense
34,3,914,123,Player,red,Defense
34,4,474,154,Player,red,Defense
34,5,1090,329,Player,red,Defense
34,6,1085,218,Player,red,Defense
34,7,210,254,Player,red,Defense
34,8,27,255,Player,red,Defense
34,9,1154,178,Player,red,Defense
34,10,1223,226,Player,red,Defense
34,11,506,124,Player,red,Defense
34,21,640,125,Player,red,Defense
35,1,704,541,Player,red,Defense
35,2,368,122,Player,red,Defense
35,3,914,123,Player,red,Defense
35,4,474,154,Player,red,Defense
35,5,1090,329,Player,red,Defense
35,6,1085,218,Player,red,Defense
35,7,210,254,Player,red,Defense
35,8,27,255,Player,red,Defense
35,9,1154,178,Player,red,Defense
35,10,1223,226,Player,red,Defense
35,11,506,124,Player,red,Defense
35,21,640,125,Player,red,Defense
36,1,698,545,Player,red,Defense
36,2,368,122,Player,red,Defense
36,3,914,123,Player,red,Defense
36,4,474,155,Player,red,Defense
36,5,1090,329,Player,red,Defense
36,6,1085,218,Player,red,Defense
36,7,210,254,Player,red,Defense
36,8,27,255,Player,red,Defense
36,9,1154,178,Player,red,Defense
36,10,1223,226,Player,red,Defense
36,11,506,124,Player,red,Defense
36,21,640,125,Player,red,Defense
37,1,696,547,Player,red,Defense
37,2,368,122,Player,red,Defense
37,3,914,123,Player,red,Defense
37,4,474,155,Player,red,Defense
37,5,1090,329,Player,red,Defense
37,6,1085,218,Player,red,Defense
37,7,210,254,Player,red,Defense
37,8,27,255,Player,red,Defense
37,9,1154,178,Player,red,Defense
37,10,1223,226,Player,red,Defense
37,11,506,124,Player,red,Defense
37,21,640,125,Player,red,Defense
38,1,694,546,Player,red,Defense
38,2,368,122,Player,red,Defense
38,3,914,123,Player,red,Defense
38,4,474,154,Player,red,Defense
