ID,TotalDistance_Original,TotalDistance_Fixed,ValidMovements,FilteredMovements,AverageSpeed_kmh,MaxSpeed_kmh,ImprovementFactor,IssuesDetected
1,69.35642663090718,7.308585074539226,41,371,16.043235529476352,21.088914762420575,9.489720092678786,"Coordinate mapping corrected, Filtered 9 large jumps (>2m)"
2,61.83200892658648,11.323250715453604,61,347,16.706435481816793,21.267416551387363,5.4606234976498556,Coordinate mapping corrected
3,106.6651210342033,13.23244832292313,70,342,17.013147843758315,21.286066640031603,8.060875692174275,"Coordinate mapping corrected, Filtered 10 large jumps (>2m)"
4,113.18599356432355,6.638148643084361,33,379,18.10404175386644,20.716692976937406,17.050837462376048,"Coordinate mapping corrected, Filtered 15 large jumps (>2m)"
5,71.65604663350803,8.956933795625675,49,357,16.451511053190014,20.473854619198324,8.00006433769812,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
6,163.03629625825104,5.315006907261074,29,379,16.494849022534368,20.63787232163783,30.67471013735085,"Coordinate mapping corrected, Filtered 16 large jumps (>2m)"
7,135.46443166778167,7.932424443372827,43,367,16.602748834966377,20.879478056786173,17.07730500741875,"Coordinate mapping corrected, Filtered 14 large jumps (>2m)"
8,25.550273562875574,0.0,0,16,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
11,50.943412384557284,0.6555404607002563,4,32,14.749660365755767,15.559422350066104,77.71207948040143,"Coordinate mapping corrected, Filtered 5 large jumps (>2m)"
15,179.81598821213424,5.36369917694734,27,240,17.878997256491132,20.97962317226894,33.52462214603048,"Coordinate mapping corrected, Filtered 15 large jumps (>2m)"
19,32.75733237173238,0.0,0,19,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 4 large jumps (>2m)"
20,101.16771729477034,3.003269948085243,16,288,16.893393457979492,21.078541585706116,33.68585543210012,"Coordinate mapping corrected, Filtered 15 large jumps (>2m)"
22,28.654296114301314,0.0,0,15,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 4 large jumps (>2m)"
34,53.16453964862438,0.0,0,67,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 9 large jumps (>2m)"
48,,0.0,0,5,0.0,0.0,0.0,Coordinate mapping corrected
77,65.62226145149137,4.946197867964103,27,125,16.48732622654701,21.222993783183057,13.26721316114716,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
80,30.69575082502203,0.5534614722772698,3,19,16.603844168318094,20.162226530383304,55.46140492620281,"Coordinate mapping corrected, Filtered 5 large jumps (>2m)"
84,69.87668440740805,3.031685085672588,16,100,17.05322860690831,20.869340713375404,23.048793800397544,"Coordinate mapping corrected, Filtered 12 large jumps (>2m)"
85,50.60169197371839,2.4397657821589624,12,87,18.29824336619222,21.327182940611568,20.740389238896803,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
86,33.90980654555439,0.3597554468577199,2,12,16.188995108597396,16.21433579603117,94.25793783454631,"Coordinate mapping corrected, Filtered 5 large jumps (>2m)"
87,27.27716327169132,0.9740578734198392,6,11,14.61086810129759,16.85326048771585,28.003637171909904,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
90,22.248190419071683,0.0,0,7,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 6 large jumps (>2m)"
99,24.65795333292676,0.0,0,5,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
102,50.19117519185181,2.9075565601238367,14,58,18.69143502936752,21.392839754027904,17.262321180680352,"Coordinate mapping corrected, Filtered 5 large jumps (>2m)"
144,58.41494173168207,1.4972150355239713,7,76,19.249907599593914,21.412744401448617,39.01573277430983,"Coordinate mapping corrected, Filtered 6 large jumps (>2m)"
150,33.962905788890055,0.4452757305085944,1,31,20.03740787288675,20.03740787288675,76.27387585237935,"Coordinate mapping corrected, Filtered 7 large jumps (>2m)"
166,24.222636133971278,0.0,0,11,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 7 large jumps (>2m)"
178,26.722760339574478,0.0,0,6,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 3 large jumps (>2m)"
221,54.99122308098717,0.1631930446441526,1,100,14.687374017973735,14.687374017973735,336.97038498728426,"Coordinate mapping corrected, Filtered 9 large jumps (>2m)"
237,52.63001104096848,0.6981837849724484,3,70,20.945513549173445,21.470035530851924,75.3813138800486,"Coordinate mapping corrected, Filtered 11 large jumps (>2m)"
241,32.54030957319014,0.18559981629410466,1,33,16.70398346646942,16.70398346646942,175.3251173569386,"Coordinate mapping corrected, Filtered 1 large jumps (>2m)"
247,28.635152152786155,0.0,0,8,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 6 large jumps (>2m)"
252,41.29518163950346,0.0,0,48,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 6 large jumps (>2m)"
253,58.23615488127007,0.0,0,54,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 10 large jumps (>2m)"
254,30.679371917659893,0.0,0,33,0.0,0.0,0.0,"Coordinate mapping corrected, Filtered 5 large jumps (>2m)"
